name,district,street,address,lng,lat,single_room,one_bed,two_bed,three_plus
大布巷新围,龙华区,观澜街道,龙华区观澜街道新澜社区大布巷新围,114.045043,22.719916,602,924,1426,1795
坪山社区中兴,坪山区,坪山街道,坪山区坪山街道坪山社区坪山社区中兴,114.342724,22.689795,451,693,1068,1345
黄果沥,坪山区,坪山街道,坪山区坪山街道和平社区黄果沥,114.347057,22.696983,413,634,978,1232
塘水围新村三区,龙华区,民治街道,龙华区民治街道民强社区塘水围新村三区,114.032724,22.622716,1023,1571,2423,3051
沙坣新村,坪山区,马峦街道,坪山区马峦街道沙坣社区沙坣新村,114.356735,22.692029,356,547,844,1063
东方社区大井头村,宝安区,松岗街道,宝安区松岗街道东方社区东方社区大井头村,113.839803,22.762597,500,767,1184,1491
福新小区,宝安区,福永街道,宝安区福永街道福永社区福新小区,113.804359,22.665883,695,1067,1646,2073
坂田六区住宅小区,龙岗区,坂田街道,龙岗区坂田街道五和社区坂田六区住宅小区,114.054345,22.622472,1094,1680,2592,3264
六约社区深竹小区,龙岗区,横岗街道,龙岗区横岗街道六约社区六约社区深竹小区,114.170758,22.637538,791,1215,1874,2360
向南社区向南东村,南山区,南山街道,南山区南山街道向南社区向南社区向南东村,113.916712,22.526368,1522,2337,3605,4540
盐田社区渔民新村,盐田区,盐田街道,盐田区盐田街道盐田社区盐田社区渔民新村,114.270334,22.588757,996,1530,2360,2972
西坑社区白鸡斗村,龙岗区,园山街道,龙岗区园山街道西坑社区西坑社区白鸡斗村,114.221962,22.619804,469,721,1112,1400
大康社区莘塘旧村,龙岗区,园山街道,龙岗区园山街道大康社区大康社区莘塘旧村,114.218553,22.644301,418,641,989,1246
茜坑居民小组,坪山区,龙田街道,坪山区龙田街道竹坑社区茜坑居民小组,114.397604,22.712857,365,560,864,1088
安良社区福坑村,龙岗区,园山街道,龙岗区园山街道安良社区安良社区福坑村,114.230327,22.638701,411,630,973,1225
新二村,宝安区,新桥街道,宝安区新桥街道新二社区新二村,113.833451,22.734015,543,834,1286,1620
新坡塘路口小区,龙岗区,园山街道,龙岗区园山街道保安社区新坡塘路口小区,114.209318,22.65538,698,1071,1652,2081
东方社区南边头新村,宝安区,松岗街道,宝安区松岗街道东方社区东方社区南边头新村,113.838953,22.761907,485,744,1148,1446
黎光新村,龙华区,观澜街道,龙华区观澜街道黎光社区黎光新村,114.03233,22.759468,420,645,995,1253
和平社区马西,坪山区,坪山街道,坪山区坪山街道和平社区和平社区马西,114.342522,22.69414,427,655,1011,1273
南三社区锦绣新村,龙岗区,布吉街道,龙岗区布吉街道南三社区南三社区锦绣新村,114.11302,22.616277,703,1079,1664,2096
西坑居民小组,坪山区,龙田街道,坪山区龙田街道老坑社区西坑居民小组,114.362507,22.734909,333,511,789,993
凌屋村,龙华区,观澜街道,龙华区观澜街道君子布社区凌屋村,114.090866,22.720972,424,652,1005,1266
凤凰社区源屋围村,龙岗区,平湖街道,龙岗区平湖街道凤凰社区凤凰社区源屋围村,114.125242,22.698322,574,881,1360,1713
坑尾村,宝安区,松岗街道,宝安区松岗街道溪头社区坑尾村,113.833289,22.781177,397,609,939,1183
石龙坑新村,龙岗区,吉华街道,龙岗区吉华街道水径社区石龙坑新村,114.096628,22.612739,730,1121,1729,2178
茶角坎,龙华区,大浪街道,龙华区大浪街道同胜社区茶角坎,113.990724,22.666727,663,1018,1571,1979
