districtname,zoneName,communityName,communityId,multiRent,highRent,lowRent
盐田区,盐田街道,佳兆业山海城家园二期,4320,,57,
盐田区,盐田街道,佳兆业山海城家园三期,4321,,57,
龙岗区,南湾街道,锦绣山庄,2,,37,
龙华区,大浪街道,富隆苑,4,,41,
光明区,马田街道,伟林雅苑,9,,30,
宝安区,石岩街道,鸿景花园,10,,30,
龙华区,民治街道,民乐大厦,20,,58,
龙岗区,南湾街道,厦村统建楼,28,,40,
龙岗区,布吉街道,木棉湾统建楼,33,48,,
龙岗区,布吉街道,文博雅苑,69,,45,
龙华区,龙华街道,新宝城大酒店,86,,40,
龙华区,观湖街道,观城山庄,104,29,29,
光明区,马田街道,中泰大厦,118,,36,
大鹏新区,南澳街道,东涌家园一期,133,,27,
宝安区,沙井街道,盛芳园,184,,30,
宝安区,松岗街道,碧头花园,187,,28,
光明区,凤凰街道,唐家大院,194,,33,
宝安区,西乡街道,东山得宝楼,216,,47,
福田区,梅林街道,裕林花园,236,56,,
光明区,公明街道,九紫东景,264,,36,
大鹏新区,葵涌街道,金葵丰,278,,28,
大鹏新区,南澳街道,山海名苑,305,,29,
龙岗区,园山街道,安良新村统建楼,310,,36,
宝安区,石岩街道,宏发世纪花园（商务公寓）,323,,56,
龙华区,民治街道,星河传奇花园二期（商务公寓）,358,,84,
龙岗区,龙城街道,万科天誉中央广场,362,,43,
龙华区,福城街道,湖润名苑,369,44,44,
龙华区,民治街道,星河盛世花园（商务公寓）,376,,91,
龙岗区,宝龙街道,中信龙盛广场（商务公寓）,390,,47,
龙华区,观湖街道,深业泰然观澜玫瑰轩,400,,57,
宝安区,航城街道,领航城商业中心（一期）,405,,65,
福田区,福田街道,东方新天地广场,431,,109,
南山区,蛇口街道,万科蛇口公馆（商务公寓）,449,,134,
盐田区,沙头角街道,蓝郡公馆大厦,458,,90,
宝安区,西乡街道,流塘阳光花园（商务公寓）,476,,92,
盐田区,梅沙街道,海丽晶商住园,481,58,58,
南山区,招商街道,"水湾壹玖柒玖广场一期
（商务公寓）",493,,123,
宝安区,航城街道,恒丰工业城,582,50,,
罗湖区,东晓街道,布心工业区,1429,70,,
罗湖区,莲塘街道,粤兴小区,1473,53,,
罗湖区,黄贝街道,景园大厦(罗湖),1697,,56,
罗湖区,东晓街道,颖隆大厦,1740,,76,
罗湖区,黄贝街道,天井湖住宅楼,1887,57,,
福田区,梅林街道,深华科技园公寓,2415,80,,
龙岗区,横岗街道,振业城四五期,853,,41,
罗湖区,东晓街道,翠景山庄,1206,,70,
南山区,南山街道,天安公寓,2704,91,,
南山区,南山街道,龙坤居,3133,95,,
盐田区,盐田街道,东港印象家园,4143,,54,
龙岗区,横岗街道,振业城二三期,4215,44,,49
龙华区,大浪街道,华联丰大厦,98,,38,
龙岗区,平湖街道,新南统建楼,45,,35,
宝安区,西乡街道,碧海湾花园,558,61,,
罗湖区,东湖街道,传麒东湖名苑,560,,86,
龙华区,民治街道,金亨利瑜璟苑,566,,103,
福田区,福田街道,福侨花园(福田),567,,88,
龙岗区,龙城街道,尚景园,568,30,,
宝安区,新安街道,招商华侨城曦城三期,3498,,,155
南山区,南山街道,东华假日公寓,4192,,76,
龙华区,龙华街道,壹成中心花园(A824-0118)第8区,4194,,73,
盐田区,沙头角街道,物资局大院,4316,46,,
盐田区,梅沙街道,东部华侨城天麓一区,4317,,,151
龙岗区,南湾街道,荔景山色,1,,45,
龙岗区,坂田街道,坂田集团,3,52,52,
龙岗区,龙城街道,宏昌华府,5,,35,
龙华区,龙华街道,宝华大厦,7,,43,
宝安区,松岗街道,丽园小筑,8,,33,
福田区,梅林街道,锦林楼,12,52,,
龙岗区,南湾街道,丹竹头统建楼,21,,42,
龙华区,观湖街道,景山大厦,23,,32,
龙岗区,南湾街道,吉厦统建楼小区,29,,40,
龙岗区,南湾街道,黄金豪庭,47,,40,
龙华区,龙华街道,三联统建楼,55,35,,
龙岗区,南湾街道,上李朗统建楼,63,,41,
罗湖区,翠竹街道,高标公司职工宿舍,67,54,,
龙华区,龙华街道,清湖名苑,85,,45,
罗湖区,黄贝街道,碧波花园统建楼,91,57,,
罗湖区,翠竹街道,水库新村统建楼,92,55,,
龙岗区,龙岗街道,玉湖山畔,95,,33,
龙华区,福城街道,富民公寓,100,32,,
龙华区,观澜街道,大布巷新村统建楼,103,,31,
龙华区,大浪街道,陶吓商业楼,108,,41,
宝安区,福永街道,御林山景,115,,36,
宝安区,沙井街道,新宝花园,125,,34,
宝安区,西乡街道,蚝业雅苑,126,,63,
宝安区,沙井街道,百合雅苑,135,,38,
南山区,南山街道,正龙村统建楼,154,86,,
宝安区,燕罗街道,洪爵豪庭,157,32,31,
宝安区,沙井街道,和一别墅区,158,34,,
宝安区,航城街道,汇庭居,162,,44,
大鹏新区,葵涌街道,金葵二区统建楼,170,28,,
宝安区,石岩街道,馨庭苑,180,,36,
宝安区,福海街道,凤凰世纪,192,,37,
光明区,马田街道,薯田埔社区统建楼,196,36,,
宝安区,福永街道,白石厦大道统建楼,201,,36,
宝安区,新桥街道,华瑞阁,203,,36,
宝安区,新桥街道,城市丽都花园,208,,38,
宝安区,福永街道,金菊花苑,210,36,41,
宝安区,石岩街道,羊台山壹号,219,,36,
宝安区,石岩街道,民德居,220,,34,
宝安区,新桥街道,中泰国际,222,,33,
