name,district,street,address,lng,lat,multi_rent,high_rent,low_rent
茶宫茗香苑,福田区,莲花街道,福田区景田路82号,114.03779,22.557775,,94,
华隆园,罗湖区,东门街道,罗湖区翠园街38号,114.12185,22.552904,,94,
华联丰大厦,龙华区,大浪街道,龙华区大浪街道华宁路22-23号,113.98379,22.691963,,38,
碧海花园一期,盐田区,沙头角街道,盐田区环城路5号,114.22754,22.544743,52,,
碧涛阁,宝安区,新安街道,宝安区宝安大道与上川一路交汇处南侧,113.881662,22.567428,58,,
滨海苑,南山区,蛇口街道,南山区蛇口新街滨海苑小区,113.921094,22.492497,79,,
黄埔雅苑四期,福田区,莲花街道,福田区福中路316号,114.048756,22.54846,,114,
香丽大厦,福田区,莲花街道,福田区莲花西路2075号路,114.034777,22.554121,,72,
龙福一村,龙岗区,龙城街道,龙岗区德政路95号,114.241,22.727103,32,,
生产资料公司,罗湖区,东门街道,罗湖区晒布路46号,114.115928,22.553198,67,,
越众越海家园（商品住房）,福田区,香蜜湖街道,福田区紫竹六道64号,114.001752,22.537954,,102,
富通蟠龙居,宝安区,西乡街道,宝安区西乡大道与新城大道交汇处南侧,113.864421,22.578229,67,65,
碧岭华庭,罗湖区,东晓街道,罗湖区太白路4068号,114.120808,22.581838,,71,
悦城花园一期,龙岗区,龙城街道,龙岗区吉祥中路与盘龙路交汇处东侧,114.237693,22.734978,,,40
碧海富通城二期,宝安区,西乡街道,宝安区共乐路与西乡大道交汇处北侧,113.853528,22.572043,,70,
中熙香莎公馆,宝安区,沙井街道,沙井路与西茭塘路交汇处（麒麟山景大酒店东侧）,113.803541,22.726502,,46,
荔树人家,福田区,沙头街道,福田区福强路5070号,114.028584,22.529538,,92,
登高村,罗湖区,东门街道,东门中路,114.119008,22.553438,70,,
荔香坊,福田区,华强北街道,福田区荔香街与同心路交汇处东南侧,114.097565,22.544714,93,77,
蓝色海云居,福田区,福保街道,福田区石厦北一街7号,114.046515,22.529931,,109,
文和园,盐田区,沙头角街道,盐田区官下路2号,114.229219,22.553209,,45,
侨社大院,罗湖区,南湖街道,罗湖区和平路1019号,114.110532,22.531356,55,,
置地逸轩,罗湖区,南湖街道,罗湖区南湖路2007号,114.115973,22.53994,,131,
瑞达苑,福田区,莲花街道,福田区景田路2号,114.040297,22.546823,,77,
景山花园一期,宝安区,福海街道,宝安区福永街道塘尾社区大洋路55号,113.816841,22.696676,31,,
荔湖花苑,福田区,园岭街道,福田区红荔路1068号,114.094762,22.552144,,101,
金色家园三期,福田区,莲花街道,福田区莲花路2018号,114.039676,22.557242,,99,
松茂御龙湾雅苑一期,宝安区,西乡街道,深圳宝安碧海片区银田路与宝怡路交汇处,113.848879,22.576524,,85,
布心阳光明居,罗湖区,东晓街道,罗湖区金稻田路1048号,114.129263,22.58575,,75,
御豪苑,龙岗区,龙岗街道,龙岗区龙岗路与鹏达路交汇处西北侧,114.265925,22.721979,,39,
雕塑家园,福田区,梅林街道,福田区中康路2号,114.054884,22.566057,,94,
金宝城大厦,福田区,南园街道,福田区南园路与华发南路交汇处东南侧,114.084437,22.54002,,97,
瑞林苑,盐田区,海山街道,盐田区海山路46号,114.232784,22.561807,48,,
罗湖大厦,罗湖区,南湖街道,罗湖区建设路1070号,114.1128,22.539005,,96,
万丰园,南山区,蛇口街道,南山区工业七路与爱榕路交汇处西南侧,113.923831,22.496984,79,,
中信安华综合商住楼,宝安区,新安街道,宝安区新安街道办与新安四路交汇处南侧,113.892947,22.583455,45,,
集福居,福田区,华富街道,福田区红荔西路,114.064731,22.55001,90,100,
集华花园,福田区,福田街道,福田区金田路2010号,114.059599,22.529052,,75,
雅云轩,福田区,福保街道,福田区石厦北三街4号,114.049873,22.527934,,92,
绿色盐港家园,盐田区,盐田街道,盐田区永安路与明珠大道交汇处东侧,114.245772,22.592888,,50,
合泰御景翠峰(商品住房),盐田区,沙头角街道,沙头角梧桐山隧道口,114.215819,22.556457,,70,
飞扬时代大厦,福田区,南园街道,福田区华发南路与深南中路交汇处东南侧,114.084482,22.542001,,118,
莲塘D小区,罗湖区,莲塘街道,罗湖区国威路152号,114.164556,22.567395,63,,
天健花园二期(龙岗),龙岗区,龙城街道,龙岗区建设路21号,114.24182,22.72999,36,,
集建国际名园,罗湖区,南湖街道,罗湖区江背路20号,114.118365,22.541366,,113,
泰华大厦,宝安区,新安街道,宝安区新安街道前进一路265号,113.894524,22.576102,,53,
国泰豪园,福田区,莲花街道,福田区景田南路2号,114.041049,22.546827,,100,
碧涛苑多层,南山区,招商街道,南山区太子路10号,113.908676,22.483714,95,,
丰润花园别墅,龙华区,民治街道,宝安区人民北路与工业东路交汇处西南侧,114.024767,22.643959,60,,76
碧海富通城四期,宝安区,西乡街道,宝安区共乐路与兴业路交汇处南侧,113.847801,22.570523,,81,
银海苑,福田区,梅林街道,福田区梅林八号路77号,114.060109,22.573915,,89,
润华苑,福田区,梅林街道,福田区梅林路与龙尾路交汇处西北侧,114.036955,22.569528,,105,
依仙湖居,罗湖区,莲塘街道,罗湖区仙湖路156号,114.164653,22.570609,54,,
瑞丰大厦,罗湖区,南湖街道,罗湖区沿河南路1181号,114.12015,22.539046,,51,
湖心花园,罗湖区,南湖街道,罗湖区南湖路3009号,114.11529,22.5437,,87,
瀚海翠庭,盐田区,沙头角街道,盐田区沙深路33号,114.225735,22.549507,,64,
中旅广场,南山区,沙河街道,南山区侨城西街1号,113.977682,22.539334,98,94,
竹园居,罗湖区,翠竹街道,罗湖区翠竹片区东门北路2081号,114.130071,22.56323,75,,
深华业大厦,龙岗区,平湖街道,龙岗区凤凰片区新立街18号,114.128381,22.701057,,35,
深华业商住楼,龙岗区,平湖街道,龙岗区凤凰片区双拥街39-59号,114.124979,22.699852,39,,
桐辉居,盐田区,沙头角街道,盐田区园林路5号,114.217795,22.558358,50,47,
东部阳光花园,盐田区,海山街道,盐田区深盐路2038号,114.240816,22.565401,,60,
鹏莲花园,罗湖区,莲塘街道,罗湖区港莲路与罗沙公路交汇处西侧,114.163006,22.561486,47,,
朝阳里雅苑,龙岗区,龙城街道,龙岗镇中心城11区,114.230242,22.722851,57,58,
安源居,宝安区,西乡街道,宝安区庄边路与宝民二路交汇处东北侧,113.877084,22.586696,51,,
长安花园,福田区,园岭街道,福田区百花四路11号,114.085228,22.555283,,93,
红梅苑,福田区,梅林街道,福田区梅秀路4号,114.043929,22.568248,84,,
国际市长交流中心,南山区,沙河街道,南山区石洲中路55号,113.961469,22.541636,,125,
公园里花园三期（商品住房）,龙岗区,南湾街道,深圳市龙岗区南湾街道丹坪快速与布沙路交汇处,114.153849,22.609647,,59,
登良花园,南山区,南山街道,南山区登良路,113.915897,22.516788,80,,
华联城市山林花园一期,南山区,南山街道,南山区南山大道与内环路交汇处,113.910195,22.51403,,105,
金燕园,福田区,梅林街道,福田区梅华路2号,114.056614,22.568646,,97,
金港豪庭,福田区,福田街道,福田区金田路1001号,114.059678,22.521205,,102,
荔海春城花园,南山区,南山街道,南山区向南路与工业八路交汇处,113.911532,22.509031,78,108,
心海伽蓝雅居,盐田区,梅沙街道,盐田区环梅路29号,114.303925,22.603711,,48,74
绿洲花园,福田区,沙头街道,福田区新洲七街186号,114.035598,22.525577,80,,
百花公寓,福田区,园岭街道,福田区百花二路3号,114.087137,22.554895,,106,
天涛轩,盐田区,梅沙街道,盐田区大梅沙片区盐梅路天涛轩053在建楼,114.298987,22.588164,,,164
金海滩渡假别墅,大鹏新区,葵涌街道,龙岗区深葵公路与溪涌路交汇处东南侧,114.362018,22.612127,36,,53
集信名城,宝安区,松岗街道,宝安区松岗街道沙江东路集信名城178号,113.843669,22.783759,,41,55
腾阁,宝安区,新安街道,宝安区新安街道宝民路,113.886807,22.576422,,84,
中加名园,龙岗区,布吉街道,龙岗区荣超路与和坑路交汇处西南侧,114.116825,22.595579,62,55,
碧海富通城三期,宝安区,西乡街道,宝安区兴业路与西乡大道交汇处西侧,113.850004,22.569739,,86,
缔馨园,福田区,福保街道,福田区石厦北一街3号,114.046595,22.527983,,119,
四季水岸雅居,盐田区,盐田街道,盐田港后方陆域北山道与盐田路交汇处,114.254126,22.593957,,58,
竹边新村,罗湖区,东门街道,罗湖区东升街与翠园路交汇处东南侧,114.124009,22.552914,68,,
荔枝苑,南山区,沙河街道,南山区福清街40号,113.975027,22.540488,89,,
风和日丽花园四期,龙华区,民治街道,宝安区工业东路与梅龙路交汇处西南侧,114.02635,22.644488,,56,
松兴大厦,宝安区,松岗街道,宝安区松岗街道朝阳路378号,113.842081,22.766928,44,,
棕榈堡花园,宝安区,新桥街道,宝安区中心路与创新路交汇处东侧,113.824777,22.721963,,43,
金运家园,龙岗区,布吉街道,龙岗区中心路与金运路交汇处东北侧,114.116914,22.610477,,54,
龙塘生活区,福田区,莲花街道,福田区商报路120号,114.034849,22.551689,80,,
诚信华庭,龙岗区,布吉街道,龙岗区吉政路与深惠公路交汇处东北侧,114.123233,22.609652,,56,
申汇基合正逸园,福田区,梅林街道,福田区梅林路12号,114.065282,22.573633,,79,
直升机场住宅楼,南山区,南头街道,南山区深圳市直升飞机场,113.924884,22.562052,74,,
长城大厦,福田区,园岭街道,福田区百花四路与百花五路交汇处北侧,114.084041,22.556151,,87,
书院街5号大院,罗湖区,东门街道,罗湖区人民北路书院街5号,114.114025,22.55581,84,,
锦绣新居,福田区,南园街道,福田区滨河大道与爱华路交汇处东北侧,114.087156,22.538603,81,,
金港华庭,宝安区,西乡街道,宝安区西乡片区金海路与宝安大道交汇处西,113.8565,22.585205,,74,
创意大厦,盐田区,沙头角街道,盐田区中英街与环城路交汇处北侧,114.226347,22.545924,39,49,
荣生住宅楼(荣生小区),福田区,园岭街道,福田区八卦三路88号,114.094991,22.565012,75,,
金海丽名居,福田区,沙头街道,福田区金地一路18号,114.036996,22.519614,,88,
竹盛花园一期,福田区,香蜜湖街道,福田区紫竹六道78号,114.000017,22.538554,84,,
赛格苑,福田区,南园街道,福田区深南大道与华强南路交汇处东南侧,114.082342,22.541827,84,84,
鹏都大厦,南山区,南山街道,南山区南光路126号,113.92319,22.525475,,78,
东方瑞景苑,龙岗区,龙岗街道,龙岗区龙平路与罗瑞合东街交汇处西侧,114.264034,22.732184,,45,
东海丽景花园一二期,盐田区,盐田街道,盐田区盐田路208号,114.25347,22.593051,49,54,
阳光花园四期,龙岗区,吉华街道,福田区吉华路与新龙路交汇处东侧,114.110056,22.618841,,47,
香榭茗园,福田区,香蜜湖街道,福田区农园路15号,114.016123,22.544517,,117,
金沙花园(福田),福田区,沙头街道,福田区新洲五街15号,114.034228,22.527227,75,,
东部山海家园,盐田区,海山街道,盐田区海山一巷与海山路交汇处东北侧,114.232982,22.562963,61,73,
海关生活区(东晓),罗湖区,东晓街道,罗湖区布吉路1026号,114.115038,22.58418,60,,
宝丰苑,罗湖区,东晓街道,深圳市罗湖区金稻田路围岭公园东侧（布心地铁A出口）,114.129163,22.584728,,72,
鸿景春天花园二期,龙岗区,宝龙街道,龙岗区康美思大道与深汕公路交汇处北侧,114.286868,22.727201,29,,
金叶茗苑,宝安区,新安街道,宝安区新安街道50区翻身路163号,113.881251,22.570802,,63,
港湾丽都花园,南山区,南头街道,南山区桃李路283号,113.909622,22.534129,,83,
弘都世纪公寓,南山区,蛇口街道,南山区工业七路3号,113.931416,22.498176,,119,
韵动家园,福田区,沙头街道,福田区沙嘴路119号,114.033195,22.529295,,100,
又一村花园,龙岗区,吉华街道,龙岗区八约路与石龙路交汇处东侧,114.10324,22.611282,57,,
风临左岸名苑,福田区,香蜜湖街道,福田区农林路53号入口,114.009633,22.54469,,99,
颐林雅院,福田区,梅林街道,福田区中康路77号,114.052991,22.57466,88,85,
汇龙苑,龙华区,民治街道,宝安区梅龙路与民乐路交汇处东北侧,114.036931,22.606377,69,,
汇龙湾花园,龙华区,民治街道,深圳市龙华新区大道和民宝路交汇处（地铁四号线红山站D出口）,114.023096,22.624818,,80,
锦峰大厦,福田区,南园街道,福田区滨河大道与上步南路交汇处西北侧,114.090798,22.538757,,90,
心海玥雅居,盐田区,梅沙街道,盐田区海星道20号,114.30568,22.602158,53,,
中物集团,罗湖区,黄贝街道,罗湖区华丽路与凤凰路交汇处东北侧,114.131162,22.551798,64,,
金景花园,罗湖区,清水河街道,罗湖区金碧路与泥岗村西街交汇处西北侧,114.087969,22.571369,58,,
